iter	Passed	Remaining
0	64	64763
1	68	34064
2	71	23792
3	74	18668
4	78	15636
5	81	13546
6	85	12125
7	88	11035
8	92	10201
9	95	9479
10	99	8976
11	103	8561
12	107	8153
13	112	7903
14	116	7681
15	122	7546
16	126	7294
17	129	7043
18	134	6939
19	139	6830
20	142	6651
21	145	6484
22	150	6413
23	154	6302
24	158	6162
25	161	6033
26	164	5914
27	169	5875
28	174	5839
29	177	5741
30	181	5658
31	185	5603
32	188	5516
33	191	5429
34	194	5350
35	196	5273
36	200	5216
37	203	5162
38	206	5092
39	209	5028
40	212	4978
41	216	4936
42	219	4885
43	222	4834
44	225	4787
45	228	4742
46	231	4695
47	235	4661
48	237	4616
49	240	4572
50	243	4531
51	246	4490
52	250	4473
53	254	4450
54	257	4423
55	260	4390
56	264	4371
57	268	4353
58	270	4321
59	274	4293
60	277	4265
61	280	4237
62	284	4225
63	287	4197
64	290	4172
65	293	4151
66	296	4123
67	299	4104
68	302	4085
69	305	4061
70	308	4040
71	311	4018
72	314	3998
73	317	3977
74	320	3957
75	323	3936
76	326	3915
77	329	3896
78	333	3889
79	336	3869
80	339	3849
81	342	3831
82	345	3821
83	350	3821
84	353	3803
85	356	3786
86	359	3770
87	362	3751
88	365	3744
89	369	3732
90	372	3719
91	375	3704
92	378	3686
93	382	3686
94	385	3674
95	388	3658
96	391	3642
97	394	3628
98	397	3621
99	401	3611
100	404	3596
101	406	3582
102	409	3570
103	412	3557
104	416	3547
105	419	3535
106	422	3522
107	425	3510
108	427	3497
109	431	3487
110	434	3477
111	437	3465
112	439	3453
113	442	3440
114	445	3429
115	449	3422
116	451	3410
117	454	3398
118	457	3388
119	460	3376
120	463	3367
121	466	3359
122	469	3347
123	472	3337
124	475	3325
125	477	3314
126	480	3305
127	483	3294
128	486	3284
129	489	3276
130	492	3265
131	495	3255
132	498	3247
133	501	3238
134	504	3230
135	507	3222
136	510	3215
137	513	3206
138	516	3197
139	519	3189
140	522	3180
141	525	3172
142	528	3164
143	531	3159
144	534	3150
145	537	3142
146	540	3135
147	543	3128
148	546	3120
149	549	3111
150	551	3103
151	555	3096
152	557	3087
153	560	3080
154	563	3073
155	566	3065
156	570	3060
157	573	3054
158	576	3046
159	579	3041
160	582	3036
161	585	3029
162	588	3022
163	592	3018
164	596	3018
165	599	3013
166	602	3006
167	606	3001
168	608	2993
169	611	2987
170	615	2982
171	618	2979
172	621	2970
173	624	2964
174	627	2959
175	630	2954
176	634	2950
177	637	2943
178	641	2940
179	644	2936
180	647	2930
181	650	2924
182	653	2916
183	656	2910
184	659	2904
185	662	2898
186	665	2892
187	668	2886
188	670	2878
189	673	2873
190	677	2868
191	680	2863
192	683	2857
193	686	2850
194	688	2843
195	691	2838
196	694	2831
197	698	2827
198	700	2820
199	703	2813
200	706	2808
201	709	2802
202	712	2798
203	715	2792
204	718	2787
205	721	2781
206	724	2775
207	727	2771
208	730	2765
209	733	2759
210	736	2753
211	739	2747
212	742	2741
213	745	2737
214	748	2731
215	751	2726
216	754	2721
217	757	2717
218	760	2712
219	763	2706
220	766	2701
221	769	2695
222	772	2690
223	774	2684
224	777	2679
225	780	2674
226	783	2668
227	786	2663
228	789	2658
229	792	2652
230	795	2647
231	798	2642
232	801	2637
233	804	2632
234	807	2627
235	809	2621
236	812	2617
237	815	2612
238	819	2607
239	822	2603
240	824	2597
241	827	2593
242	830	2588
243	833	2583
244	836	2579
245	840	2575
246	843	2572
247	846	2566
248	849	2561
249	852	2557
250	855	2553
251	858	2548
252	861	2545
253	864	2539
254	867	2534
255	870	2530
256	873	2525
257	876	2521
258	879	2516
259	882	2512
260	885	2507
261	888	2503
262	891	2498
263	894	2494
264	897	2490
265	900	2485
266	903	2481
267	906	2476
268	910	2473
269	912	2468
270	916	2464
271	919	2460
272	922	2455
273	924	2450
274	927	2445
275	930	2440
276	933	2436
277	936	2432
278	939	2427
279	942	2423
280	945	2420
281	948	2416
282	952	2412
283	955	2407
284	957	2403
